iter	RMSE
0	36731087.68
1	33971588.81
2	31374544.13
3	29234885.87
4	27018801.51
5	25187512.49
6	23624595.76
7	21838421.03
8	20530629.01
9	19319785.88
10	18164945.63
11	17313077.03
12	16303604.03
13	15342868.21
14	14405824.29
15	13684453.33
16	12989708.48
17	12388069.54
18	11867577.46
19	11420686.49
20	11143550.15
21	10839023.12
22	10404643.01
23	10177904.5
24	9900531.413
25	9607727.47
26	9388599.897
27	9201992.229
28	8976845.159
29	8768246.797
30	8621510.989
31	8392755.099
32	8181084.326
33	8087376.264
34	7974017.136
35	7840835.729
36	7813062.325
37	7707859.361
38	7602869.885
39	7468696.222
40	7370696.193
41	7329959.595
42	7211234.292
43	7159866.947
44	7076638.81
45	6951072.847
46	6912019.856
47	6842999.614
48	6777165.789
49	6652660.958
50	6623294.814
51	6545584.356
52	6490887.218
53	6390057.37
54	6362390.156
55	6295412.805
56	6218153.183
57	6175422.133
58	6061468.073
59	5983874.531
60	5898552.005
61	5805977.925
62	5717097.065
63	5650249.75
64	5566721.049
65	5517989.418
66	5442967.358
67	5419341.501
68	5356097.162
69	5334216.408
70	5302529.885
71	5250685.616
72	5191169.213
73	5132462.255
74	5103987.426
75	5061103.099
76	5030340.77
77	4986129.207
78	4956786.354
79	4930494.554
80	4861810.037
81	4810652.468
82	4772751.041
83	4730427.537
84	4701439.193
85	4675337.51
86	4639437.401
87	4631156.548
88	4603611.676
89	4587809.828
90	4559545.667
91	4532136.735
92	4495619.151
93	4467885.864
94	4436464.143
95	4416919.288
96	4400931.151
97	4378915.616
98	4358801.863
99	4338910.943
100	4307946.916
101	4263693.2
102	4246039.525
103	4219905.173
104	4199705.464
105	4182842.425
106	4157269.879
107	4126054.665
108	4106839.536
109	4094700.051
110	4080068.032
111	4062372.681
112	4052080.229
113	4036241.442
114	3998450.773
115	3982593.989
116	3956069.879
117	3943948.332
118	3931460.31
119	3922350.019
120	3889660.75
121	3857074.231
122	3821633.854
123	3774545.793
124	3756738.893
125	3740083.47
126	3712677.239
127	3687694.419
128	3681854.276
129	3671812.378
130	3652905.184
131	3641874.981
132	3623627.257
133	3613310.315
134	3600628.226
135	3579527.228
136	3564442.691
137	3546315.108
138	3529819.333
139	3515551.248
140	3497736.396
141	3480869.626
142	3456111.518
143	3443253.591
144	3438009.371
145	3433989.672
146	3429147.029
147	3422818.256
148	3408918.744
149	3401254.676
150	3386256.224
151	3373440.338
152	3364514.202
153	3352153.017
154	3330059.112
155	3314702.136
156	3300660.491
157	3288156.12
158	3283758.349
159	3278934.362
160	3257393.467
161	3239617.356
162	3223385.256
163	3204889.416
164	3187104.821
165	3169799.575
166	3160402.43
167	3151475.733
168	3138117.264
169	3128148.595
170	3119329.44
171	3112170.171
172	3097365.871
173	3081732.406
174	3072682.944
175	3064027.967
176	3054859.598
177	3050717.518
178	3033350.864
179	3026781.415
180	3017023.419
181	3011274.518
182	2993683.117
183	2975798.531
184	2957448.447
185	2945345.609
186	2938716.364
187	2924848.886
188	2919254.991
189	2906624.933
190	2898041.289
191	2886424.401
192	2874904.158
193	2866233
194	2853306.906
195	2845061.174
196	2835291.788
197	2828236.973
198	2813293.337
199	2797459.617
200	2792439.701
201	2787920.296
202	2782468.827
203	2779121.479
204	2768290.906
205	2755958.289
206	2751717.318
207	2747633.895
208	2737950.876
209	2722659.263
210	2709234.321
211	2697770.842
212	2692342.33
213	2680590.934
214	2669248.638
215	2666379.668
216	2661260.434
217	2656906.41
218	2650444.239
219	2642405.922
220	2638226.974
221	2628536.185
222	2619422.756
223	2609956.092
224	2605703.129
225	2597507.36
226	2587821.874
227	2582375.558
228	2578141.512
229	2572714.119
230	2563799.128
231	2557095.775
232	2550648.839
233	2543222.893
234	2535867.406
235	2534090.201
236	2526926.469
237	2518159.917
238	2514064.43
239	2507863.903
240	2498610.391
241	2489926.722
242	2481714.514
243	2477500.012
244	2467395.535
245	2457105.289
246	2449876.413
247	2445334.581
248	2438854.775
249	2432643.305
250	2428278.219
251	2423479.804
252	2414389.854
253	2407777.933
254	2402210.179
255	2395869.779
256	2387266.111
257	2382466.062
258	2374080.504
259	2361133.088
260	2358959.721
261	2355085.547
262	2349057.819
263	2342523.328
264	2337522.857
265	2331513.207
266	2322004.456
267	2316138.727
268	2310167.059
269	2303167.462
270	2294936.252
271	2288504.049
272	2282407.482
273	2274530.83
274	2269438.039
275	2265276.17
276	2258409.562
277	2248158.949
278	2246012.68
279	2242238.998
280	2237540.626
281	2232585.048
282	2228084.221
283	2224649.474
284	2216991.759
285	2209171.733
286	2201591.467
287	2195023.636
288	2189212.938
289	2183875.939
290	2177782.586
291	2173408.374
292	2171421.896
293	2166524.229
294	2162921.355
295	2156503.743
296	2152146.592
297	2143870.159
298	2139662.785
299	2132610.012
300	2127420.809
301	2122730.102
302	2116930.489
303	2108371.916
304	2103320.973
305	2096515.948
306	2090262.147
307	2081908.787
308	2078831.533
309	2074860.26
310	2071104.12
311	2062731.071
312	2056759.81
313	2053106.332
314	2049780.332
315	2045688.142
316	2041795.292
317	2034249.113
318	2030120.96
319	2028423.992
320	2023786.959
321	2015248.647
322	2007517.484
323	2003513.047
324	1999891.507
325	1996693.009
326	1990961.74
327	1986592.071
328	1984214.314
329	1973758.026
330	1966258.589
331	1956731.993
332	1954813.335
333	1950362.302
334	1947278.919
335	1944676.833
336	1941844.345
337	1938146.713
338	1930969.6
339	1926447.071
340	1919949.663
341	1916050.182
342	1912031.872
343	1907173.381
344	1899850.543
345	1892089.512
346	1885346.078
347	1877143.7
348	1875379.234
349	1871577.293
350	1863634.231
351	1856558.867
352	1852123.59
353	1848094.297
354	1840674.44
355	1834220.27
356	1832313.35
357	1826196.324
358	1821156.632
359	1816583.423
360	1810963.619
361	1804764.086
362	1801418.708
363	1796084.243
364	1792406.459
365	1788615.668
366	1784472.476
367	1779729.29
368	1775409.453
369	1772332.273
370	1769927.877
371	1765982.375
372	1764095.401
373	1761513.378
374	1759172.777
375	1755761.895
376	1753047.675
377	1748661.872
378	1744253.924
379	1739471.853
380	1732776.293
381	1729747.651
382	1724612.691
383	1721476.271
384	1717460.786
385	1712997.108
386	1707034.285
387	1701378.435
388	1696680.32
389	1693127.37
390	1688032.883
391	1686296.284
392	1682561.241
393	1676354.307
394	1673841.717
395	1670137.203
396	1665735.192
397	1661394.608
398	1657175.779
399	1655890.448
400	1649198.173
401	1646428.447
402	1642426.287
403	1637991.563
404	1631665.21
405	1628336.09
406	1625350.934
407	1619660.553
408	1616525.839
409	1610987.998
410	1607350.652
411	1602768.495
412	1598699.363
413	1595453.557
414	1591782.272
415	1589664.015
416	1583663.943
417	1578447.333
418	1573839.498
419	1572201.436
420	1568148.218
421	1563552.944
422	1560329.075
423	1556347.106
424	1553544.471
425	1552268.677
426	1547065.328
427	1544598.239
428	1542056.033
429	1537777.19
430	1535856.938
431	1532449.869
432	1526941.282
433	1525455.737
434	1523490.724
435	1521487.719
436	1519890.046
437	1518474.947
438	1515517.093
439	1511240.312
440	1508413.299
441	1506335.988
442	1502643.429
443	1498981.981
444	1495706.43
445	1492379.192
446	1490663.286
447	1485571.474
448	1481749.86
449	1478545.886
450	1476637.358
451	1473751.72
452	1471838.204
453	1468658.619
454	1467030.745
455	1464330.662
456	1461116.182
457	1459521.473
458	1455545.9
459	1455035.478
460	1449231.723
461	1445314.602
462	1441478.015
463	1436265.132
464	1433897.073
465	1429915.454
466	1426355.893
467	1420891.587
468	1419137.259
469	1415564.691
470	1413948.588
471	1410152.052
472	1408768.478
473	1406675.303
474	1403703.778
475	1399677.832
476	1396835.966
477	1393355.056
478	1390829.294
479	1387552.555
480	1382334.444
481	1379962.672
482	1375971.727
483	1374608.935
484	1371569.984
485	1366218.65
486	1362271.626
487	1360647.219
488	1359756.267
489	1357665.478
490	1353399.34
491	1349611.627
492	1348273.636
493	1345721.883
494	1343395.296
495	1339875.073
496	1337659.924
497	1334663.172
498	1330765.3
499	1328476.203
500	1324857.34
501	1321045.532
502	1318391.751
503	1315636.331
504	1312054.749
505	1309477.524
506	1307087.67
507	1303505.531
508	1302998.759
509	1300866.995
510	1297568.836
511	1295114.229
512	1291019.938
513	1288071.226
514	1285993.488
515	1282826.032
516	1280273.754
517	1277177.754
518	1275113.156
519	1271940.777
520	1268668.305
521	1264601.141
522	1262095.097
523	1260977.709
524	1258703.227
525	1255877.104
526	1253051.304
527	1250093.19
528	1249333.841
529	1247433.729
530	1244414.415
531	1241282.769
532	1239182.259
533	1235434.164
534	1232323.056
535	1227995.8
536	1226932.086
537	1223591.293
538	1221360.34
539	1220367.355
540	1217468.106
541	1214221.16
542	1213217.743
543	1212109.223
544	1210597.825
545	1209689.268
546	1208808.56
547	1205693.117
548	1205005.462
549	1204052.17
550	1200301.594
551	1198512.45
552	1197653.911
553	1194640.74
554	1192497.396
555	1191387.446
556	1188756.435
557	1186352.664
558	1185015.807
559	1181477.366
560	1180278.276
561	1177778.601
562	1176165.289
563	1174831.368
564	1173569.785
565	1171860.077
566	1169718.33
567	1169088.071
568	1167669.576
569	1166312.473
570	1162948.179
571	1160060.98
572	1159230.804
573	1158332.352
574	1155662.134
575	1155035.224
576	1154483.756
577	1152873.153
578	1150033.367
579	1147034.876
580	1144901.937
581	1143402.166
582	1141202.732
583	1139319.089
584	1136095.551
585	1134627.716
586	1131745.773
587	1129849.711
588	1127485.434
589	1126677.628
590	1124535.212
591	1123788.847
592	1122033.74
593	1118983.852
594	1117851.152
595	1115776.176
596	1115371.569
597	1113848.08
598	1111913.84
599	1110721.244
600	1109660.619
601	1108468.948
602	1106632.194
603	1104439.161
604	1101516.115
605	1100040.042
606	1099362.414
607	1097807.776
608	1096182.118
609	1094848.631
610	1092859.188
611	1091418.37
612	1088516.859
613	1086653.811
614	1084886.638
615	1083325.347
616	1080510.83
617	1077889.945
618	1075731.589
619	1074490.647
620	1073591.746
621	1071712.368
622	1070995.499
623	1069641.872
624	1068284.46
625	1066806.149
626	1065319.997
627	1064021.195
628	1063350.028
629	1061351.64
630	1058741.077
631	1058379.268
632	1056456.926
633	1055121.475
634	1052775.776
635	1051475.642
636	1050466.761
637	1049482.508
638	1048626.892
639	1047602.872
640	1046331.383
641	1044213.785
642	1042451.43
643	1038886.616
644	1038345.845
645	1036514.621
646	1035177.341
647	1033560.599
648	1032440.087
649	1031717.62
650	1030907.876
651	1028646.889
652	1027940.749
653	1025867.376
654	1023214.511
655	1021781.893
656	1019585.861
657	1017587.745
658	1015439.122
659	1013092.89
660	1011473.412
661	1009872.454
662	1009395.241
663	1008285.369
664	1006599.852
665	1005401.791
666	1004231.813
667	1001101.797
668	997420.0165
669	996255.0431
670	993896.9637
671	992787.3692
672	990198.6333
673	988659.8086
674	986311.4791
675	984778.8764
676	983465.0611
677	982447.7566
678	981426.1836
679	979987.6899
680	979576.174
681	978347.7586
682	977134.117
683	975689.6524
684	972838.9766
685	971027.2131
686	970006.1833
687	969177.4069
688	968113.9561
689	967408.7714
690	965098.9654
691	963421.0688
692	962787.0376
693	961137.5157
694	960188.5452
695	958701.439
696	956914.3053
697	955952.137
698	955213.4224
699	953493.013
700	952108.9292
701	949749.7489
702	948744.3139
703	947144.7673
704	944888.9345
705	942668.092
706	940700.0939
707	939958.623
708	938202.1666
709	936940.6876
710	935483.2844
711	934232.8506
712	932767.3866
713	931369.0123
714	930407.8491
715	929297.7547
716	928921.7387
717	926863.1306
718	924972.3897
719	923968.6383
720	921988.9616
721	919864.7201
722	919414.3138
723	917363.5776
724	915740.93
725	914509.1211
726	913273.682
727	912151.0027
728	911153.4205
729	908622.2219
730	907040.8955
731	905869.4317
732	904266.7916
733	902684.949
734	902071.9649
735	901709.3554
736	899705.9816
737	898378.1538
738	896899.0318
739	895483.8021
740	893745.8138
741	891435.5908
742	889996.6975
743	888711.7285
744	887362.3157
745	886097.7882
746	883564.3134
747	882810.0168
748	880508.0642
749	879862.1277
750	878146.2396
751	876955.7595
752	875788.4586
753	874599.6402
754	873144.653
755	872366.8407
756	871001.1789
757	869862.1013
758	869043.6897
759	867419.7749
760	865911.7742
761	864704.2058
762	862036.8044
763	860296.244
764	859090.0442
765	858405.4708
766	856187.2355
767	855732.9934
768	854622.9101
769	853878.5555
770	852712.9353
771	852002.6021
772	850804.6234
773	848772.7342
774	847537.5013
775	845488.2854
776	844257.7354
777	842887.1511
778	841388.2001
779	841019.2628
780	839641.036
781	838332.4614
782	836470.1063
783	834362.712
784	832601.9284
785	831557.4886
786	830168.6269
787	829158.9057
788	828227.2671
789	827218.0301
790	825961.8145
791	823792.1166
792	822977.6248
793	821401.2237
794	820862.2119
795	819941.0005
796	818044.9457
797	816482.4897
798	814211
799	813381.716
800	812876.4434
801	811566.9218
802	811044.2772
803	809156.482
804	808601.2152
805	807920.91
806	806304.5851
807	805691.1407
808	803619.2586
809	802431.6557
810	801161.3453
811	800308.4542
812	799999.2499
813	797777.2534
814	796445.35
815	794723.9429
816	793465.3509
817	791679.7521
818	791320.1668
819	790847.5731
820	789893.3061
821	788788.7406
822	787920.36
823	787671.7758
824	786510.3247
825	784713.1532
826	783799.6685
827	782979.583
828	782569.7587
829	780521.2522
830	778787.591
831	778545.4453
832	778034.8882
833	776439.6636
834	775409.9179
835	774311.4154
836	772758.1657
837	771036.5018
838	770155.6672
839	769857.8076
840	768469.4258
841	767302.8304
842	766113.7777
843	765637.1263
844	765303.8329
845	762935.7457
846	762255.4241
847	761085.2472
848	760670.5363
849	760032.5651
850	758700.3289
851	758106.6184
852	757523.4592
853	756979.7985
854	755980.6702
855	755133.4923
856	754845.4286
857	754778.4394
858	753710.5579
859	752384.9442
860	749953.1435
861	748601.7735
862	747656.8233
863	746576.5448
864	745594.827
865	744065.9061
866	743272.1901
867	741937.2054
868	741432.5767
869	739393.3936
870	737226.5182
871	736295.7795
872	734921.198
873	734030.5698
874	732379.7819
875	731867.8064
876	731067.9403
877	730299.5877
878	728273.9285
879	726911.9829
880	725766.7572
881	725242.6641
882	725028.8596
883	724477.005
884	723058.661
885	722576.508
886	722050.0121
887	721801.183
888	720915.6104
889	719444.5032
890	718931.0137
891	718499.1419
892	717860.7684
893	716537.2357
894	715318.9178
895	714837.0651
896	714479.4889
897	713736.4024
898	713223.096
899	712199.0175
900	709945.9968
901	709348.4139
902	707933.0104
903	707327.5624
904	706476.6724
905	705142.4484
906	703627.1329
907	702753.6498
908	700627.0995
909	699931.218
910	699102.4382
911	698733.1045
912	698159.7894
913	696555.3086
914	695805.6844
915	694657.1179
916	693960.0894
917	692921.1478
918	692544.6685
919	690869.6984
920	689925.1184
921	689211.1472
922	688300.8027
923	687406.4532
924	686804.8183
925	686536.8812
926	685827.8132
927	684711.4346
928	683689.3139
929	682981.1978
930	681952.1228
931	681418.0876
932	680682.4117
933	680285.5068
934	679477.0755
935	679227.1189
936	678393.8958
937	678235.8758
938	677701.6294
939	677202.6235
940	677012.396
941	676235.9384
942	675826.1914
943	674545.7292
944	673956.8148
945	673442.8146
946	672438.8592
947	671232.0661
948	670277.1172
949	669854.7029
950	668968.0578
951	668072.4111
952	667090.0985
953	666320.142
954	664961.3801
955	663675.4872
956	662071.1149
957	661013.0959
958	660545.8042
959	660003.6365
960	658488.6431
961	658218.3781
962	657306.0065
963	656321.5915
964	656241.9407
965	655503.6882
966	655318.1036
967	654756.4264
968	653432.8395
969	652861.3089
970	651979.9332
971	650620.3882
972	650300.4587
973	649738.5854
974	649241.1603
975	648143.8237
976	647875.957
977	647345.0486
978	646680.3702
979	645890.1126
980	644259.9021
981	643332.8256
982	642797.8698
983	641523.8502
984	640521.3551
985	639692.9213
986	639211.415
987	638029.5029
988	636860.6193
989	635272.1532
