iter	Passed	Remaining
0	1	1443
1	2	1162
2	3	1058
3	4	1003
4	4	968
5	5	945
6	6	949
7	7	941
8	8	928
9	9	928
10	10	924
11	11	917
12	12	911
13	13	917
14	13	918
15	14	912
16	15	907
17	16	900
18	17	895
19	18	890
20	18	884
21	19	880
22	20	879
23	21	877
24	22	874
25	23	870
26	24	869
27	25	867
28	25	866
29	26	863
30	27	860
31	28	856
32	29	854
33	29	851
34	30	849
35	31	848
36	32	833
37	32	831
38	33	830
39	34	827
40	35	826
41	36	824
42	36	822
43	37	820
44	38	819
45	39	818
46	40	817
47	41	816
48	41	814
49	42	813
50	43	812
51	44	810
52	45	809
53	46	809
54	47	809
55	47	808
56	48	807
57	49	806
58	50	805
59	51	803
60	52	802
61	52	801
62	53	801
63	54	800
64	55	800
65	56	799
66	57	799
67	58	798
68	59	797
69	59	795
70	60	794
71	61	792
72	62	791
73	63	790
74	63	788
75	64	787
76	65	786
77	66	785
78	67	784
79	68	785
80	69	784
81	69	783
82	70	782
83	71	781
84	72	779
85	73	778
86	74	777
87	74	776
88	75	775
89	76	774
90	77	773
91	78	772
92	79	771
93	80	771
94	80	770
95	81	769
96	82	768
97	83	768
98	84	767
99	85	766
100	86	766
101	86	765
102	87	764
103	88	763
104	89	762
105	90	761
106	91	760
107	91	759
108	92	758
109	93	757
110	94	756
111	95	755
112	96	755
113	97	754
114	97	753
115	98	752
116	99	751
117	100	751
118	101	750
119	102	749
120	102	747
121	103	746
122	104	745
123	105	744
124	106	743
125	107	742
126	107	741
127	108	740
128	109	739
129	110	739
130	111	738
131	112	737
132	112	735
133	113	734
134	114	733
135	115	732
136	116	731
137	116	730
138	117	729
139	118	728
140	119	727
141	120	726
142	121	725
143	121	725
144	122	724
145	123	723
146	124	722
147	125	723
148	126	722
149	127	721
150	128	720
151	129	722
152	130	721
153	131	720
154	132	720
155	132	719
156	133	718
157	134	717
158	135	716
159	136	716
160	137	715
161	138	714
162	139	713
163	139	712
164	140	711
165	141	711
166	142	710
167	143	709
168	144	708
169	144	707
170	145	706
171	146	706
172	147	705
173	148	704
174	149	703
175	150	702
176	150	701
177	151	701
178	152	700
179	153	699
180	154	698
181	155	697
182	156	696
183	156	696
184	157	694
185	158	693
186	159	692
187	160	691
188	161	690
189	161	689
190	162	688
191	163	688
192	164	687
193	165	686
194	165	684
195	166	683
196	167	682
197	168	682
198	169	681
199	170	680
200	171	679
201	171	679
202	172	678
203	173	677
204	174	676
205	175	675
206	176	674
207	176	673
208	177	672
209	178	671
210	179	670
211	180	669
212	180	668
213	181	667
214	182	666
215	183	666
216	184	665
217	185	664
218	186	663
219	186	662
220	187	661
221	188	661
222	189	660
223	190	659
224	191	658
225	192	657
226	192	656
227	193	655
228	194	654
229	195	654
230	196	653
231	197	652
232	197	651
233	198	650
234	199	649
235	200	649
236	201	648
237	202	647
238	203	646
239	203	645
240	204	644
241	205	644
242	206	643
243	207	642
244	208	641
245	209	640
246	209	639
247	210	639
248	211	638
249	212	637
250	213	636
251	214	635
252	214	634
253	215	633
254	216	633
255	217	632
256	218	631
257	219	630
258	220	629
259	221	629
260	221	628
261	222	627
262	223	626
263	224	625
264	225	624
265	226	624
266	227	623
267	227	622
268	228	621
269	229	620
270	230	619
271	231	618
272	232	618
273	232	617
274	233	616
275	234	615
276	235	614
277	236	613
278	237	613
279	237	611
280	238	611
281	239	610
282	240	609
283	241	608
284	242	607
285	243	607
286	244	606
287	244	605
288	245	604
289	246	603
290	247	603
291	248	602
292	249	601
293	250	600
294	251	600
295	251	599
296	252	598
297	253	597
298	254	596
299	255	595
300	256	595
301	257	594
302	258	593
303	259	595
304	260	594
305	261	593
306	262	592
307	263	591
308	264	591
309	265	590
310	266	589
311	267	588
312	267	587
313	268	587
314	269	586
315	270	585
316	271	584
317	272	583
318	273	582
319	273	581
320	274	581
321	275	580
322	276	579
323	277	578
324	278	577
325	279	577
326	279	576
327	280	575
328	281	574
329	282	573
330	283	572
331	284	572
332	285	571
333	286	570
334	286	569
335	287	568
336	288	568
337	289	567
338	290	566
339	291	565
340	292	564
341	293	563
342	293	562
343	294	561
344	295	561
345	296	560
346	297	559
347	298	558
348	298	557
349	299	556
350	300	556
351	301	555
352	302	554
353	303	553
354	304	552
355	305	551
356	305	551
357	306	550
358	307	549
359	308	548
360	309	547
361	310	546
362	311	545
363	311	545
364	312	544
365	313	543
366	314	542
367	315	541
368	316	541
369	317	540
370	318	539
371	318	538
372	319	537
373	320	536
374	321	535
375	322	534
376	323	534
377	324	533
378	324	532
379	325	531
380	326	530
381	327	529
382	328	529
383	329	528
384	330	527
385	331	526
386	331	525
387	332	524
388	333	523
389	334	522
390	335	522
391	336	521
392	336	520
393	337	519
394	338	518
395	339	517
396	340	517
397	341	516
398	342	515
399	343	514
400	344	513
401	344	513
402	345	512
403	346	511
404	347	510
405	348	509
406	349	508
407	349	507
408	350	506
409	351	506
410	352	505
411	353	504
412	354	503
413	355	502
414	356	501
415	356	501
416	358	500
417	358	499
418	359	498
419	360	498
420	361	497
