Kecamatan,Kamar Tidur,Kamar Mandi,Luas Tanah (m²),Luas Bangunan (m²),Sertifikat,Daya Listrik (watt),Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Hadap,Terjangkau Internet,Lebar Jalan (m),Sumber Air,Hook,Kondisi Properti,Aksesibilitas,NJOP (Rp/m²),Tingkat Keamanan,Sewa per Bulan (Rp),Jenis Zona
Asemrowo,12,8,1098,574,AJB,8800,0,4,Furnished,4,Barat,Tidak,4,Air Tanah,Ya,Baru,Dekat Sekolah,378880,10,324000000,Campuran
Asemrowo,4,8,904,1066,SHM,13200,4,4,Furnished,4,Timur,Tidak,14,Air Tanah,Tidak,Butuh Renovasi,Dekat Sekolah,367146,8,402300000,Komersial
Asemrowo,10,4,824,836,SHM,13200,2,4,Unfurnished,2,Selatan,Ya,20,Sumur,Tidak,Butuh Renovasi,Dekat Jalan Raya,367410,8,214100000,Perumahan
Asemrowo,10,4,1034,1110,SHM,11000,2,0,Semi-Furnished,4,Barat,Ya,16,PDAM,Ya,Baru,Dekat Jalan Raya,398098,8,668500000,Perumahan
Asemrowo,2,6,1006,108,SHM,2600,2,2,Unfurnished,6,Timur,Ya,8,PDAM,Tidak,Baru,Dekat Jalan Raya,332824,6,32100000,Campuran
Asemrowo,6,6,1158,946,AJB,13200,0,0,Unfurnished,6,Timur,Tidak,20,Air Tanah,Tidak,Baru,Dekat Jalan Raya,350150,10,384900000,Perumahan
Asemrowo,2,8,1154,162,AJB,1800,4,0,Semi-Furnished,4,Barat,Tidak,20,PDAM,Tidak,Bagus,Dekat Jalan Raya,358832,6,32400000,Campuran
Asemrowo,10,8,536,328,SHM,2600,2,4,Semi-Furnished,2,Selatan,Ya,22,Air Tanah,Tidak,Bagus,Dekat Sekolah,315576,10,108900000,Perumahan
Asemrowo,10,4,934,1050,HGB,13200,2,0,Unfurnished,4,Barat,Ya,16,Air Tanah,Ya,Butuh Renovasi,Dekat Jalan Raya,397064,8,314800000,Campuran
Asemrowo,12,6,610,222,HGB,4400,2,4,Furnished,2,Timur,Ya,12,Air Tanah,Ya,Baru,Dekat Jalan Raya,360340,10,84900000,Komersial
Asemrowo,6,2,1162,670,SHM,7000,2,0,Unfurnished,6,Timur,Ya,24,Sumur,Tidak,Baru,Dekat Pusat Kota,318068,10,243700000,Perumahan
Asemrowo,2,8,288,436,HGB,4400,0,4,Furnished,2,Utara,Ya,22,Sumur,Ya,Butuh Renovasi,Dekat Pusat Kota,315156,10,78800000,Perumahan
Asemrowo,6,4,274,270,HGB,4400,2,2,Semi-Furnished,2,Barat,Ya,8,PDAM,Tidak,Baru,Dekat Pusat Kota,325704,8,59600000,Perumahan
Asemrowo,4,4,732,688,SHM,7000,2,4,Unfurnished,4,Selatan,Ya,12,Air Tanah,Ya,Butuh Renovasi,Dekat Pusat Kota,354440,10,131900000,Perumahan
Asemrowo,10,8,700,478,AJB,7000,0,0,Unfurnished,4,Utara,Ya,14,Air Tanah,Ya,Bagus,Dekat Jalan Raya,366420,10,142700000,Campuran
