Kecamatan,Kamar Tidur,Kamar Mandi,Luas Tanah (m²),Luas Bangunan (m²),Sertifikat,Daya Listrik (watt),Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Hadap,Terjangkau Internet,Lebar Jalan (m),Sumber Air,Hook,Kondisi Properti,Aksesibilitas,NJOP (Rp/m²),Tingkat Keamanan,Sewa per Bulan (Rp),Jenis Zona
Asemrowo,6,4,549,287,AJB,4400,0,2,Furnished,2,Barat,Tidak,2,Air Tanah,Ya,Baru,Dekat Sekolah,189440,5,162000000,Campuran
Asemrowo,2,4,452,533,SHM,6600,2,2,Furnished,2,Timur,Tidak,7,Air Tanah,Tidak,Butuh Renovasi,Dekat Sekolah,183573,4,201150000,Komersial
Asemrowo,5,2,412,418,SHM,6600,1,2,Unfurnished,1,Selatan,Ya,10,Sumur,Tidak,Butuh Renovasi,Dekat Jalan Raya,183705,4,107050000,Perumahan
Asemrowo,5,2,517,555,SHM,5500,1,0,Semi-Furnished,2,Barat,Ya,8,PDAM,Ya,Baru,Dekat Jalan Raya,199049,4,334250000,Perumahan
Asemrowo,1,3,503,54,SHM,1300,1,1,Unfurnished,3,Timur,Ya,4,PDAM,Tidak,Baru,Dekat Jalan Raya,166412,3,16050000,Campuran
Asemrowo,3,3,579,473,AJB,6600,0,0,Unfurnished,3,Timur,Tidak,10,Air Tanah,Tidak,Baru,Dekat Jalan Raya,175075,5,192450000,Perumahan
Asemrowo,1,4,577,81,AJB,900,2,0,Semi-Furnished,2,Barat,Tidak,10,PDAM,Tidak,Bagus,Dekat Jalan Raya,179416,3,16200000,Campuran
Asemrowo,5,4,268,164,SHM,1300,1,2,Semi-Furnished,1,Selatan,Ya,11,Air Tanah,Tidak,Bagus,Dekat Sekolah,157788,5,54450000,Perumahan
Asemrowo,5,2,467,525,HGB,6600,1,0,Unfurnished,2,Barat,Ya,8,Air Tanah,Ya,Butuh Renovasi,Dekat Jalan Raya,198532,4,157400000,Campuran
Asemrowo,6,3,305,111,HGB,2200,1,2,Furnished,1,Timur,Ya,6,Air Tanah,Ya,Baru,Dekat Jalan Raya,180170,5,42450000,Komersial
Asemrowo,3,1,581,335,SHM,3500,1,0,Unfurnished,3,Timur,Ya,12,Sumur,Tidak,Baru,Dekat Pusat Kota,159034,5,121850000,Perumahan
Asemrowo,1,4,144,218,HGB,2200,0,2,Furnished,1,Utara,Ya,11,Sumur,Ya,Butuh Renovasi,Dekat Pusat Kota,157578,5,39400000,Perumahan
Asemrowo,3,2,137,135,HGB,2200,1,1,Semi-Furnished,1,Barat,Ya,4,PDAM,Tidak,Baru,Dekat Pusat Kota,162852,4,29800000,Perumahan
Asemrowo,2,2,366,344,SHM,3500,1,2,Unfurnished,2,Selatan,Ya,6,Air Tanah,Ya,Butuh Renovasi,Dekat Pusat Kota,177220,5,65950000,Perumahan
Asemrowo,5,4,350,239,AJB,3500,0,0,Unfurnished,2,Utara,Ya,7,Air Tanah,Ya,Bagus,Dekat Jalan Raya,183210,5,71350000,Campuran
Asemrowo,2,3,269,103,SHM,1300,0,2,Semi-Furnished,2,Timur,Tidak,5,PDAM,Tidak,Bagus,Dekat Jalan Raya,172441,3,28100000,Perumahan
Asemrowo,6,1,444,33,AJB,1300,1,2,Furnished,1,Selatan,Ya,10,Air Tanah,Ya,Bagus,Dekat Jalan Raya,146887,3,7750000,Perumahan
Asemrowo,5,2,384,110,SHM,2200,2,2,Semi-Furnished,3,Selatan,Tidak,5,Air Tanah,Tidak,Baru,Dekat Pusat Kota,166592,5,62900000,Komersial
Asemrowo,2,1,165,140,AJB,1300,0,0,Furnished,3,Barat,Tidak,2,Air Tanah,Ya,Butuh Renovasi,Dekat Pusat Kota,168143,4,30750000,Komersial
Asemrowo,6,3,310,354,SHM,2200,0,2,Semi-Furnished,3,Selatan,Tidak,9,Sumur,Ya,Baru,Dekat Jalan Raya,159846,5,192800000,Perumahan
Asemrowo,6,2,334,40,HGB,900,2,2,Unfurnished,2,Timur,Ya,12,PDAM,Tidak,Butuh Renovasi,Dekat Pusat Kota,145906,1,8650000,Campuran
Asemrowo,2,2,276,175,HGB,1300,1,1,Furnished,3,Utara,Tidak,10,PDAM,Ya,Butuh Renovasi,Dekat Sekolah,178173,4,47000000,Komersial
Asemrowo,3,4,575,613,SHM,6600,1,0,Semi-Furnished,1,Timur,Ya,8,Air Tanah,Ya,Baru,Dekat Sekolah,174871,5,261650000,Campuran
Asemrowo,5,4,310,289,SHM,4400,1,1,Furnished,1,Utara,Tidak,7,PDAM,Tidak,Butuh Renovasi,Dekat Sekolah,159802,5,85150000,Perumahan
