Alamat,Kecamatan,Njop (Rp/M²),Sertifikat,Sewa Per Bulan (Rp),Luas Tanah (M²),Jenis Zona,Aksesibilitas,Tingkat Keamanan,Kepadatan_Penduduk
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,3724000.0,Lainnya,7578340.0,814.0,Perumahan,Buruk,rendah,181325
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,4704000.0,HGB,43276800.0,3680.0,Perumahan,Buruk,tinggi,123757
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",Gunung Anyar,3724000.0,HGB,20947500.0,2250.0,Komersial,Baik,rendah,62482
"Jl. Pakal No. 10, Surabaya",Pakal,2381415.36,HGB,8612630.48,1365.94,Industri,Baik,tinggi,59971
"Jl. Krembangan No. 8, Surabaya",Krembangan,7538441.7,HGB,63653736.52,4269.58,Industri,Baik,rendah,109027
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,11250000.0,Lainnya,47250000.0,1680.0,Komersial,Buruk,tinggi,123961
"Jl. Raya Lakarsantri No. 10, Surabaya",Lakarsantri,2064000.0,SHM,5376720.0,1042.0,Industri,Baik,tinggi,59256
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",Tambaksari,4704000.0,SHM,174683040.0,14854.0,Perumahan,Buruk,rendah,214966
"Jl. Petemon No. 77, Sawahan, Surabaya",Sawahan,2832000.0,Lainnya,95891520.0,13544.0,Perumahan,Buruk,rendah,188693
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",Gunung Anyar,3724000.0,HGB,137471460.0,14766.0,Perumahan,Buruk,rendah,62482
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,12390000.0,SHM,39276300.0,1268.0,Komersial,Baik,rendah,52924
"Jl. Tandes No. 14, Surabaya",Tandes,4085245.82,HGB,12565115.06,1308.4,Komersial,Buruk,rendah,87511
"Jl. Krembangan No. 8, Surabaya",Krembangan,6861276.68,Lainnya,123180245.48,17508.7,Industri,Buruk,tinggi,109027
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",Tambaksari,4704000.0,SHM,43159200.0,3670.0,Perumahan,Buruk,rendah,214966
"Jl. Jambangan No. 6, Surabaya",Jambangan,5059353.1,SHM,188332402.9,14554.88,Perumahan,Buruk,rendah,50470
"Jl. Sukolilo No. 13, Surabaya",Sukolilo,8763924.82,SHM,166415780.26,8515.4,Perumahan,Buruk,rendah,110557
"Jl. Wonocolo No. 16, Surabaya",Wonocolo,5944984.76,Lainnya,113754477.56,8589.86,Industri,Baik,rendah,75315
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,6148337.06,SHM,193414974.06,14980.74,Perumahan,Baik,rendah,75315
"Jl. Krembangan No. 8, Surabaya",Krembangan,6212079.34,SHM,245764200.7,15821.36,Industri,Baik,rendah,109027
"Jl. Dukuh Pakis No. 4, Surabaya",Dukuh Pakis,10589605.02,HGB,134895746.68,20266.8,Perumahan,Buruk,tinggi,56707
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,3724000.0,SHM,33516000.0,3600.0,Perumahan,Baik,tinggi,181325
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",Gunung Anyar,3724000.0,SHM,95464740.0,10254.0,Industri,Buruk,tinggi,62482
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,2064000.0,Lainnya,11610000.0,2250.0,Komersial,Baik,rendah,63778
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",Gunung Anyar,3724000.0,HGB,6982500.0,750.0,Industri,Baik,tinggi,62482
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,11250000.0,SHM,97875000.0,3480.0,Komersial,Baik,rendah,123961
"Jl. Tenggilis Mejoyo No. 15, Surabaya",Tenggilis Mejoyo,6294030.86,Lainnya,126428075.96,17795.62,Komersial,Baik,rendah,61187
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,5687048.42,HGB,8870116.98,575.78,Komersial,Buruk,tinggi,75315
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,11250000.0,Lainnya,126562500.0,4500.0,Komersial,Baik,tinggi,123961
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,2893361.62,SHM,114363744.0,15837.0,Perumahan,Buruk,tinggi,86545
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,6062764.34,SHM,22612160.64,1433.78,Industri,Buruk,rendah,75315
"Jl. Dukuh Pakis No. 4, Surabaya",Dukuh Pakis,9651820.42,Lainnya,245385163.08,11005.94,Industri,Buruk,tinggi,56707
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,2064000.0,Lainnya,1548000.0,300.0,Industri,Buruk,rendah,63778
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,2064000.0,SHM,19195200.0,3720.0,Industri,Buruk,rendah,69938
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,2064000.0,Lainnya,18988800.0,3680.0,Industri,Buruk,tinggi,69938
"Jl. Bubutan No. 2, Surabaya",Bubutan,8297568.16,Lainnya,311997931.34,13259.78,Perumahan,Buruk,rendah,90646
"Jl. Bubutan No. 2, Surabaya",Bubutan,8083774.24,Lainnya,112059091.96,5436.2,Komersial,Baik,tinggi,90646
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,12390000.0,SHM,124239250.0,12000.0,Komersial,Buruk,rendah,52924
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,5710930.8,SHM,206990558.7,13250.32,Perumahan,Buruk,tinggi,75315
