Alamat,Kecamatan,Njop (Rp/M²),Sertifikat,Sewa Per Bulan (Rp),Luas Tanah (M²),Jenis Zona,Aksesibilitas,Tingkat Keamanan,Kepadatan_Penduduk
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,1862000.0,Lainnya,3789170.0,407.0,Perumahan,Buruk,rendah,181325
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,2352000.0,HGB,21638400.0,1840.0,Perumahan,Buruk,tinggi,123757
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",Gunung Anyar,1862000.0,HGB,10473750.0,1125.0,Komersial,Baik,rendah,62482
"Jl. Pakal No. 10, Surabaya",Pakal,1190707.68,HGB,4306315.24,682.97,Industri,Baik,tinggi,59971
"Jl. Krembangan No. 8, Surabaya",Krembangan,3769220.85,HGB,31826868.26,2134.79,Industri,Baik,rendah,109027
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,5625000.0,Lainnya,23625000.0,840.0,Komersial,Buruk,tinggi,123961
"Jl. Raya Lakarsantri No. 10, Surabaya",Lakarsantri,1032000.0,SHM,2688360.0,521.0,Industri,Baik,tinggi,59256
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",Tambaksari,2352000.0,SHM,87341520.0,7427.0,Perumahan,Buruk,rendah,214966
"Jl. Petemon No. 77, Sawahan, Surabaya",Sawahan,1416000.0,Lainnya,47945760.0,6772.0,Perumahan,Buruk,rendah,188693
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",Gunung Anyar,1862000.0,HGB,68735730.0,7383.0,Perumahan,Buruk,rendah,62482
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,6195000.0,SHM,19638150.0,634.0,Komersial,Baik,rendah,52924
"Jl. Tandes No. 14, Surabaya",Tandes,2042622.91,HGB,6282557.53,654.2,Komersial,Buruk,rendah,87511
"Jl. Krembangan No. 8, Surabaya",Krembangan,3430638.34,Lainnya,61590122.74,8754.35,Industri,Buruk,tinggi,109027
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",Tambaksari,2352000.0,SHM,21579600.0,1835.0,Perumahan,Buruk,rendah,214966
"Jl. Jambangan No. 6, Surabaya",Jambangan,2529676.55,SHM,94166201.45,7277.44,Perumahan,Buruk,rendah,50470
"Jl. Sukolilo No. 13, Surabaya",Sukolilo,4381962.41,SHM,83207890.13,4257.7,Perumahan,Buruk,rendah,110557
"Jl. Wonocolo No. 16, Surabaya",Wonocolo,2972492.38,Lainnya,56877238.78,4294.93,Industri,Baik,rendah,75315
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,3074168.53,SHM,96707487.03,7490.37,Perumahan,Baik,rendah,75315
"Jl. Krembangan No. 8, Surabaya",Krembangan,3106039.67,SHM,122882100.35,7910.68,Industri,Baik,rendah,109027
"Jl. Dukuh Pakis No. 4, Surabaya",Dukuh Pakis,5294802.51,HGB,67447873.34,10133.4,Perumahan,Buruk,tinggi,56707
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,1862000.0,SHM,16758000.0,1800.0,Perumahan,Baik,tinggi,181325
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",Gunung Anyar,1862000.0,SHM,47732370.0,5127.0,Industri,Buruk,tinggi,62482
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,1032000.0,Lainnya,5805000.0,1125.0,Komersial,Baik,rendah,63778
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",Gunung Anyar,1862000.0,HGB,3491250.0,375.0,Industri,Baik,tinggi,62482
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,5625000.0,SHM,48937500.0,1740.0,Komersial,Baik,rendah,123961
"Jl. Tenggilis Mejoyo No. 15, Surabaya",Tenggilis Mejoyo,3147015.43,Lainnya,63214037.98,8897.81,Komersial,Baik,rendah,61187
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,2843524.21,HGB,4435058.49,287.89,Komersial,Buruk,tinggi,75315
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,5625000.0,Lainnya,63281250.0,2250.0,Komersial,Baik,tinggi,123961
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,1446680.81,SHM,57181872.0,7918.5,Perumahan,Buruk,tinggi,86545
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,3031382.17,SHM,11306080.32,716.89,Industri,Buruk,rendah,75315
"Jl. Dukuh Pakis No. 4, Surabaya",Dukuh Pakis,4825910.21,Lainnya,122692581.54,5502.97,Industri,Buruk,tinggi,56707
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,1032000.0,Lainnya,774000.0,150.0,Industri,Buruk,rendah,63778
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,1032000.0,SHM,9597600.0,1860.0,Industri,Buruk,rendah,69938
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,1032000.0,Lainnya,9494400.0,1840.0,Industri,Buruk,tinggi,69938
