Kecamatan,Luas Tanah (m²),Luas Bangunan (m²),Jumlah Lantai,Kondisi Properti,Kondisi Perabotan,Sertifikat,Daya Listrik (watt),Hook,NJOP (Rp/m²),Jenis Zona,Aksesibilitas,Tingkat Keamanan,Usia Bangunan (tahun),Nilai Jual Bangunan (Rp)
Asemrowo,549,287,2,Baru,Furnished,AJB,4400,Ya,189440,Campuran,Dekat Sekolah,5,14,54369280
Asemrowo,452,533,2,Butuh Renovasi,Furnished,SHM,6600,Tidak,183573,Komersial,Dekat Sekolah,4,11,97844409
Asemrowo,412,418,1,Butuh Renovasi,Unfurnished,SHM,6600,Tidak,183705,Perumahan,Dekat Jalan Raya,4,29,76788690
Asemrowo,517,555,2,Baru,Semi-Furnished,SHM,5500,Ya,199049,Perumahan,Dekat Jalan Raya,4,15,110472195
Asemrowo,503,54,3,Baru,Unfurnished,SHM,1300,Tidak,166412,Campuran,Dekat Jalan Raya,3,23,8986248
Asemrowo,579,473,3,Baru,Unfurnished,AJB,6600,Tidak,175075,Perumahan,Dekat Jalan Raya,5,18,82810475
Asemrowo,577,81,2,Bagus,Semi-Furnished,AJB,900,Tidak,179416,Campuran,Dekat Jalan Raya,3,7,14532696
Asemrowo,268,164,1,Bagus,Semi-Furnished,SHM,1300,Tidak,157788,Perumahan,Dekat Sekolah,5,30,25877232
Asemrowo,467,525,2,Butuh Renovasi,Unfurnished,HGB,6600,Ya,198532,Campuran,Dekat Jalan Raya,4,20,104229300
Asemrowo,305,111,1,Baru,Furnished,HGB,2200,Ya,180170,Komersial,Dekat Jalan Raya,5,16,19998870
Asemrowo,581,335,3,Baru,Unfurnished,SHM,3500,Tidak,159034,Perumahan,Dekat Pusat Kota,5,22,53276390
Asemrowo,144,218,1,Butuh Renovasi,Furnished,HGB,2200,Ya,157578,Perumahan,Dekat Pusat Kota,5,4,34352004
Asemrowo,137,135,1,Baru,Semi-Furnished,HGB,2200,Tidak,162852,Perumahan,Dekat Pusat Kota,4,21,21985020
Asemrowo,366,344,2,Butuh Renovasi,Unfurnished,SHM,3500,Ya,177220,Perumahan,Dekat Pusat Kota,5,15,60963680
Asemrowo,350,239,2,Bagus,Unfurnished,AJB,3500,Ya,183210,Campuran,Dekat Jalan Raya,5,5,43787190
Asemrowo,269,103,2,Bagus,Semi-Furnished,SHM,1300,Tidak,172441,Perumahan,Dekat Jalan Raya,3,7,17761423
Asemrowo,444,33,1,Bagus,Furnished,AJB,1300,Ya,146887,Perumahan,Dekat Jalan Raya,3,24,4847271
Asemrowo,384,110,3,Baru,Semi-Furnished,SHM,2200,Tidak,166592,Komersial,Dekat Pusat Kota,5,17,18325120
Asemrowo,165,140,3,Butuh Renovasi,Furnished,AJB,1300,Ya,168143,Komersial,Dekat Pusat Kota,4,24,23540020
Asemrowo,310,354,3,Baru,Semi-Furnished,SHM,2200,Ya,159846,Perumahan,Dekat Jalan Raya,5,11,56585484
Asemrowo,334,40,2,Butuh Renovasi,Unfurnished,HGB,900,Tidak,145906,Campuran,Dekat Pusat Kota,1,14,5836240
Asemrowo,276,175,3,Butuh Renovasi,Furnished,HGB,1300,Ya,178173,Komersial,Dekat Sekolah,4,26,31180275
Asemrowo,575,613,1,Baru,Semi-Furnished,SHM,6600,Ya,174871,Campuran,Dekat Sekolah,5,25,107195923
Asemrowo,310,289,1,Butuh Renovasi,Furnished,SHM,4400,Tidak,159802,Perumahan,Dekat Sekolah,5,8,46182778
Asemrowo,65,30,2,Baru,Unfurnished,AJB,1300,Ya,168853,Komersial,Dekat Sekolah,1,12,5065590
Asemrowo,593,284,2,Butuh Renovasi,Semi-Furnished,SHM,4400,Tidak,169566,Perumahan,Dekat Sekolah,5,25,48156744
Asemrowo,275,317,2,Baru,Unfurnished,HGB,4400,Ya,177363,Komersial,Dekat Pusat Kota,4,14,56224071
Asemrowo,81,72,2,Butuh Renovasi,Furnished,HGB,1300,Ya,170342,Komersial,Dekat Jalan Raya,2,9,12264624
