Kecamatan	Laki_laki_2020	Perempuan_2020	Jumlah_2020
Karangpilang	37627	37169	74796
Jambangan	24969	25501	50470
Gayungan	20223	21066	41289
Wonocolo	37344	37971	75315
Tenggilis Mejoyo	30249	30938	61187
Gunung Anyar	31202	31280	62482
Rungkut	61184	62573	123757
Sukolilo	54765	55792	110557
Mulyorejo	42590	43955	86545
Gubeng	60450	63511	123961
Wonokromo	70874	73776	144650
Dukuh Pakis	27995	28712	56707
Wiyung	35581	36024	71605
Lakarsantri	29614	29642	59256
Sambikerep	31796	31982	63778
Tandes	43187	44324	87511
Sukomanunggal	50382	50877	101259
Sawahan	92938	95755	188693
Tegalsari	45300	46714	92014
Genteng	25764	27160	52924
Tambaksari	106471	108495	214966
Kenjeran	91160	90165	181325
Bulak	21819	21945	43764
Simokerto	43099	43798	86897
Semampir	86524	86145	172669
Pabean Cantian	35064	35744	70808
Bubutan	44779	45867	90646
Krembangan	53976	55051	109027
Asemrowo	23011	22536	45547
Benowo	34947	34991	69938
Pakal	30284	29687	59971
Kota Surabaya	1425168	1449146	2874314
