iter	RMSE
0	78276102.33
1	72712125.74
2	67103988.28
3	62764847.91
4	58565154.43
5	54675003.55
6	51741817.57
7	48934271.11
8	45646958.96
9	42573326.46
10	39729721.26
11	38089693.92
12	35807277.45
13	33871458.97
14	32306277
15	30587966.99
16	29174758.03
17	28092367.9
18	26791149.59
19	25821522.28
20	24829277.04
21	24063036.85
22	23141618.48
23	22407830.52
24	21604323.02
25	20932075.08
26	20174518.45
27	19494749.9
28	18901052.13
29	18257966.82
30	17700231.53
31	17381938.35
32	16840918.18
33	16424826.1
34	15903361.46
35	15502361.6
36	15006182.27
37	14703588.92
38	14268931.5
39	13788107.6
40	13504525.66
41	13142826.97
42	12813299.96
43	12533878.65
44	12252904.8
45	11956141.77
46	11760837.94
47	11474467.7
48	11271004.18
49	10968678.22
50	10720635.33
51	10459760.15
52	10185302.63
53	10024472.16
54	9829447.681
55	9604478.113
56	9458728.505
57	9220298.443
58	9033645.229
59	8832231.878
60	8682780.446
61	8575237.465
62	8427994.239
63	8299686.892
64	8119052.918
65	7962448.387
66	7761171.2
67	7592896.174
68	7433646.115
69	7296885.646
70	7151750.813
71	6990089.793
72	6887134.363
73	6739648.694
74	6637359.433
75	6500725.876
76	6368496.168
77	6246549.614
78	6135780.791
79	6056222.494
80	6030886.847
81	5886618.525
82	5765513.422
83	5654305.714
84	5556258.877
85	5425640.377
86	5328252.191
87	5255800.691
88	5165240.536
89	5128686.063
90	5036967.18
91	4959426.111
92	4878508.998
93	4782508.769
94	4707706.326
95	4631273.603
96	4596089.571
97	4541914.547
98	4461124.31
99	4377318.55
100	4291858.191
101	4210980.683
102	4172493.316
103	4087095.943
104	4017387.349
105	3966994.43
106	3933222.567
107	3859020.68
108	3781846.958
109	3702874.116
110	3677108.019
111	3601303.493
112	3523189.025
113	3463234.888
114	3392485.56
115	3317822.25
116	3250027.31
117	3175162.569
118	3152121.01
119	3106202.107
120	3066904.564
121	3037902.456
122	2999606.575
123	2939236.762
124	2873081.546
125	2817411.447
126	2757202.557
127	2681978.431
128	2624950.614
129	2558701.643
