iter	Passed	Remaining
0	2	365
1	5	370
2	8	348
3	10	339
4	13	328
5	15	328
6	19	344
7	22	339
8	25	338
9	27	331
10	30	324
11	32	318
12	34	313
13	37	309
14	39	304
15	42	299
16	44	294
17	46	291
18	49	286
19	51	283
20	53	279
21	56	275
22	58	272
23	59	261
24	61	258
25	64	257
26	67	255
27	69	253
28	72	250
29	74	248
30	76	245
31	78	239
32	80	237
33	83	235
34	86	233
35	88	231
36	91	229
37	93	226
38	95	223
39	98	221
40	100	218
41	103	216
42	105	213
43	108	211
44	111	210
45	113	207
46	116	205
47	118	202
48	121	200
49	123	197
50	126	195
51	128	193
52	131	191
53	134	188
54	136	186
55	138	183
56	141	181
57	144	179
58	146	176
59	149	174
60	152	172
61	154	169
62	157	167
63	159	164
64	161	161
65	164	159
66	166	156
67	169	154
68	171	151
69	174	149
70	177	147
71	179	144
72	181	142
73	184	139
74	187	137
75	190	135
76	192	132
77	195	130
78	197	127
79	200	125
80	203	122
81	205	120
82	208	118
83	210	115
84	213	113
85	216	110
86	218	108
87	221	105
88	223	103
89	226	100
90	228	98
91	231	95
92	234	93
93	236	90
94	239	88
95	241	85
96	244	83
97	246	80
98	249	78
99	251	75
100	254	72
101	256	70
102	259	67
103	261	65
104	264	62
105	266	60
106	268	57
107	271	55
108	273	52
109	275	50
110	278	47
111	280	45
112	283	42
113	285	40
114	288	37
115	290	35
116	293	32
117	295	30
118	297	27
119	300	25
120	302	22
121	305	20
122	307	17
123	309	14
124	312	12
125	315	10
126	317	7
127	319	4
128	322	2
129	324	0
